6.2000E+000;-2.0873E-003;-8.2386E-004; 3.0953E-003; 5.2237E+004; 4.6048E+003; 8.8988E+007;-1.4488E+006;-1.6426E+006;-1.6426E+006;
6.4000E+000;-2.1600E-003;-8.5051E-004; 3.1950E-003; 5.0760E+004; 3.5506E+003; 8.9142E+007;-1.4609E+006;-1.6766E+006;-1.6766E+006;
6.6000E+000;-2.2327E-003;-8.7715E-004; 3.2947E-003; 4.9275E+004; 2.4896E+003; 8.9291E+007;-1.4721E+006;-1.7098E+006;-1.7098E+006;
6.8000E+000;-2.3002E-003;-9.0597E-004; 3.3944E-003; 4.9593E+005;-3.6268E+004; 9.0516E+007;-1.5099E+006;-1.8380E+006;-1.8380E+006;
7.0000E+000;-2.3772E-003;-9.3103E-004; 3.4940E-003; 4.8689E+004; 2.4770E+003; 8.9744E+007;-1.5017E+006;-1.8135E+006;-1.8135E+006;
7.2000E+000;-2.4451E-003;-9.5973E-004; 3.5937E-003; 5.0051E+005;-4.3588E+004; 9.0833E+007;-1.5349E+006;-1.9217E+006;-1.9217E+006;
7.4000E+000;-2.5224E-003;-9.8463E-004; 3.6933E-003; 4.5224E+004; 9.5486E+002; 9.0007E+007;-1.5236E+006;-1.8859E+006;-1.8859E+006;
7.6000E+000;-2.5903E-003;-1.0133E-003; 3.7929E-003; 4.9775E+005;-4.9573E+004; 9.1075E+007;-1.5550E+006;-1.9883E+006;-1.9883E+006;
7.8000E+000;-2.6676E-003;-1.0381E-003; 3.8926E-003; 4.1762E+004;-8.5197E+002; 9.0245E+007;-1.5423E+006;-1.9490E+006;-1.9490E+006;
8.0000E+000;-2.7356E-003;-1.0668E-003; 3.9922E-003; 4.9398E+005;-5.5244E+004; 9.1297E+007;-1.5725E+006;-2.0482E+006;-2.0482E+006;
8.2000E+000;-2.8130E-003;-1.0915E-003; 4.0918E-003; 3.8404E+004;-2.7595E+003; 9.0471E+007;-1.5589E+006;-2.0072E+006;-2.0072E+006;
8.4000E+000;-2.8809E-003;-1.1202E-003; 4.1914E-003; 4.8995E+005;-6.0728E+004; 9.1507E+007;-1.5884E+006;-2.1040E+006;-2.1040E+006;
8.6000E+000;-2.9583E-003;-1.1449E-003; 4.2909E-003; 3.5102E+004;-4.7112E+003; 9.0685E+007;-1.5741E+006;-2.0618E+006;-2.0618E+006;
8.8000E+000;-3.0263E-003;-1.1736E-003; 4.3905E-003; 4.8584E+005;-6.6043E+004; 9.1706E+007;-1.6031E+006;-2.1565E+006;-2.1565E+006;
9.0000E+000;-3.1037E-003;-1.1983E-003; 4.4901E-003; 3.1848E+004;-6.6873E+003; 9.0890E+007;-1.5882E+006;-2.1135E+006;-2.1135E+006;
9.2000E+000;-3.1717E-003;-1.2269E-003; 4.5896E-003; 4.8171E+005;-7.1197E+004; 9.1896E+007;-1.6169E+006;-2.2062E+006;-2.2062E+006;
9.4000E+000;-3.2433E-003;-1.2541E-003; 4.6892E-003; 5.0412E+005;-7.8070E+004; 9.2192E+007;-1.6319E+006;-2.2635E+006;-2.2635E+006;
9.6000E+000;-3.3213E-003;-1.2785E-003; 4.7887E-003; 2.7285E+004;-8.7349E+003; 9.1216E+007;-1.6120E+006;-2.2005E+006;-2.2005E+006;
9.8000E+000;-3.3895E-003;-1.3071E-003; 4.8882E-003; 4.7869E+005;-7.8815E+004; 9.2181E+007;-1.6392E+006;-2.2845E+006;-2.2845E+006;
1.0000E+001;-3.4612E-003;-1.3343E-003; 4.9877E-003; 4.9939E+005;-8.5518E+004; 9.2459E+007;-1.6533E+006;-2.3365E+006;-2.3365E+006;
1.0200E+001;-3.5334E-003;-1.3613E-003; 5.0872E-003; 5.0569E+005;-8.9369E+004; 9.2602E+007;-1.6640E+006;-2.3735E+006;-2.3735E+006;
1.0400E+001;-3.6058E-003;-1.3882E-003; 5.1867E-003; 5.0722E+005;-9.2153E+004; 9.2703E+007;-1.6731E+006;-2.4031E+006;-2.4031E+006;
1.0600E+001;-3.6782E-003;-1.4151E-003; 5.2862E-003; 5.0702E+005;-9.4546E+004; 9.2790E+007;-1.6814E+006;-2.4288E+006;-2.4288E+006;
1.0800E+001;-3.7507E-003;-1.4419E-003; 5.3857E-003; 5.0608E+005;-9.6788E+004; 9.2872E+007;-1.6893E+006;-2.4525E+006;-2.4525E+006;
1.1000E+001;-3.8232E-003;-1.4687E-003; 5.4851E-003; 5.0478E+005;-9.8964E+004; 9.2950E+007;-1.6969E+006;-2.4748E+006;-2.4748E+006;
1.1200E+001;-3.8957E-003;-1.4955E-003; 5.5846E-003; 5.0329E+005;-1.0111E+005; 9.3026E+007;-1.7044E+006;-2.4960E+006;-2.4960E+006;
1.1400E+001;-3.9682E-003;-1.5222E-003; 5.6840E-003; 5.0168E+005;-1.0323E+005; 9.3100E+007;-1.7118E+006;-2.5165E+006;-2.5165E+006;
1.1600E+001;-4.0408E-003;-1.5490E-003; 5.7835E-003; 4.9998E+005;-1.0534E+005; 9.3173E+007;-1.7191E+006;-2.5364E+006;-2.5364E+006;
1.1800E+001;-4.1133E-003;-1.5757E-003; 5.8829E-003; 4.9823E+005;-1.0743E+005; 9.3245E+007;-1.7264E+006;-2.5556E+006;-2.5556E+006;
1.2000E+001;-4.1858E-003;-1.6024E-003; 5.9823E-003; 4.9643E+005;-1.0951E+005; 9.3316E+007;-1.7337E+006;-2.5744E+006;-2.5744E+006;
1.2200E+001;-4.2584E-003;-1.6292E-003; 6.0817E-003; 4.9460E+005;-1.1159E+005; 9.3385E+007;-1.7410E+006;-2.5927E+006;-2.5927E+006;
1.2400E+001;-4.3309E-003;-1.6559E-003; 6.1811E-003; 4.9276E+005;-1.1365E+005; 9.3453E+007;-1.7483E+006;-2.6106E+006;-2.6106E+006;
1.2600E+001;-4.4035E-003;-1.6825E-003; 6.2805E-003; 4.9090E+005;-1.1570E+005; 9.3520E+007;-1.7556E+006;-2.6281E+006;-2.6281E+006;
1.2800E+001;-4.4761E-003;-1.7092E-003; 6.3798E-003; 4.8904E+005;-1.1775E+005; 9.3586E+007;-1.7629E+006;-2.6453E+006;-2.6453E+006;
1.3000E+001;-4.5486E-003;-1.7359E-003; 6.4792E-003; 4.8717E+005;-1.1979E+005; 9.3651E+007;-1.7702E+006;-2.6621E+006;-2.6621E+006;
1.3200E+001;-4.6212E-003;-1.7625E-003; 6.5786E-003; 4.8531E+005;-1.2182E+005; 9.3715E+007;-1.7776E+006;-2.6786E+006;-2.6786E+006;
1.3400E+001;-4.6938E-003;-1.7892E-003; 6.6779E-003; 4.8343E+005;-1.2384E+005; 9.3779E+007;-1.7850E+006;-2.6949E+006;-2.6949E+006;
1.3600E+001;-4.7663E-003;-1.8158E-003; 6.7772E-003; 4.8156E+005;-1.2585E+005; 9.3841E+007;-1.7924E+006;-2.7108E+006;-2.7108E+006;
1.3800E+001;-4.8389E-003;-1.8424E-003; 6.8766E-003; 4.7969E+005;-1.2785E+005; 9.3903E+007;-1.7999E+006;-2.7265E+006;-2.7265E+006;
1.4000E+001;-4.9115E-003;-1.8691E-003; 6.9759E-003; 4.7781E+005;-1.2984E+005; 9.3963E+007;-1.8075E+006;-2.7419E+006;-2.7419E+006;
1.4200E+001;-4.9841E-003;-1.8957E-003; 7.0752E-003; 4.7593E+005;-1.3182E+005; 9.4023E+007;-1.8151E+006;-2.7571E+006;-2.7571E+006;
1.4400E+001;-5.0566E-003;-1.9223E-003; 7.1745E-003; 4.7405E+005;-1.3380E+005; 9.4082E+007;-1.8227E+006;-2.7720E+006;-2.7720E+006;
1.4600E+001;-5.1292E-003;-1.9488E-003; 7.2738E-003; 4.7217E+005;-1.3576E+005; 9.4141E+007;-1.8304E+006;-2.7867E+006;-2.7867E+006;
1.4800E+001;-5.2018E-003;-1.9754E-003; 7.3730E-003; 4.7029E+005;-1.3771E+005; 9.4199E+007;-1.8381E+006;-2.8012E+006;-2.8012E+006;
1.5000E+001;-5.2744E-003;-2.0020E-003; 7.4723E-003; 4.6841E+005;-1.3966E+005; 9.4256E+007;-1.8459E+006;-2.8155E+006;-2.8155E+006;
1.5200E+001;-5.3469E-003;-2.0286E-003; 7.5715E-003; 4.6653E+005;-1.4159E+005; 9.4312E+007;-1.8538E+006;-2.8297E+006;-2.8297E+006;
1.5400E+001;-5.4195E-003;-2.0551E-003; 7.6708E-003; 4.6465E+005;-1.4352E+005; 9.4368E+007;-1.8617E+006;-2.8436E+006;-2.8436E+006;
 1.5600E+001;-5.4921E-003;-2.0817E-003; 7.7700E-003; 4.6278E+005;-1.4543E+005; 9.4422E+007;-1.8696E+006;-2.8574E+006;-2.8574E+006;
