            ;            ;            ;            ;            ;            ;            ;            ;            ;            ;
 0.0000E+000; 0.0000E+000; 0.0000E+000; 0.0000E+000; 0.0000E+000; 0.0000E+000; 0.0000E+000; 0.0000E+000; 0.0000E+000; 0.0000E+000;
 2.0000E-001;-3.5477E-005;-3.0889E-005; 1.0000E-004; 5.3253E+003; 4.9366E+003; 1.7246E+007;-5.1653E+004;-7.0916E+004;-7.0916E+004;
 4.0000E-001;-7.6372E-005;-6.6180E-005; 1.9999E-004; 3.4065E+003; 5.9089E+003; 2.9462E+007;-2.0461E+005;-1.4295E+005;-1.4295E+005;
 6.0000E-001;-1.2376E-004;-1.0361E-004; 2.9997E-004;-4.6912E+003; 1.6238E+003; 3.7227E+007;-3.3529E+005;-4.9728E+005;-4.9728E+005;
 8.0000E-001;-1.7786E-004;-1.4047E-004; 3.9994E-004;-2.5056E+003; 3.4360E+003; 4.1798E+007;-3.7283E+005;-8.4753E+005;-8.4753E+005;
 1.0000E+000;-2.3652E-004;-1.7582E-004; 4.9990E-004;-1.9023E+003; 3.1504E+003; 4.4811E+007;-3.7333E+005;-1.0310E+006;-1.0310E+006;
 1.2000E+000;-2.9789E-004;-2.0985E-004; 5.9985E-004;-1.9390E+003; 2.5632E+003; 4.7113E+007;-3.5700E+005;-1.0988E+006;-1.0988E+006;
 1.4000E+000;-3.6090E-004;-2.4299E-004; 6.9979E-004;-2.2229E+003; 1.9103E+003; 4.9028E+007;-3.2900E+005;-1.0979E+006;-1.0979E+006;
 1.6000E+000;-4.2500E-004;-2.7555E-004; 7.9972E-004;-2.7370E+003; 1.2881E+003; 5.0687E+007;-2.9279E+005;-1.0603E+006;-1.0603E+006;
 1.8000E+000;-4.8986E-004;-3.0773E-004; 8.9964E-004;-3.3529E+003; 6.5398E+002; 5.2149E+007;-2.5354E+005;-1.0058E+006;-1.0058E+006;
 2.0000E+000;-5.5530E-004;-3.3963E-004; 9.9954E-004;-4.0345E+003;-1.4677E+001; 5.3452E+007;-2.1730E+005;-9.4512E+005;-9.4512E+005;
 2.2000E+000;-6.2119E-004;-3.7135E-004; 1.0994E-003;-4.8086E+003;-7.1169E+002; 5.4615E+007;-1.8915E+005;-8.8389E+005;-8.8389E+005;
